的	白勹丶󰁶
岽	山󰀂小󰁧
峤	山丿大󰀯
嵛	山人一刂
嶷	山匕𠂉󰁾
狃	犭ノ󰁈二
猕	犭ノ弓小
馑	⺈󰁐廿主
怿	忄又󰀟󰀢
阃	门囗木󰀦
阍	门󰁚弋日
涑	氵一口󰅇
濞	氵丿目󰀯
濠	氵亠口󰀓
瀵	氵米田八
逦	一冂丶辶
逯	󰁭氺辶󰀦
屣	尸彳止󰁾
嫖	女覀二小
嫘	女田ㄠ小
驽	女又󰀊一
骓	󰀊󰀞亻󰁷
绗	纟彳一丁
珈	王力口󰀝
瑗	王爫一又
璩	王󰅋七󰀓
榇	木立木󰁶
殇	一夕𠂉󰁤
殪	一夕士䒑
晔	日亻ヒ十
赙	贝一月寸
毹	人一月乚
歃	丿十臼人
觳	士冖一又
旄	方𠂉丿乚
祧	礻󰁶儿󰀪
禊	礻󰁶三大
怼	又寸心󰁧
憝	亠口孑心
斫	石斤󰀢
碥	石丶尸艹
黼	󰅊一丷丶
眇	目小丿ノ
眦	目止匕󰁀
铒	钅耳󰀝
锖	钅主月󰀝
锘	钅艹口
锸	钅丿十臼
镝	钅亠丷古
矧	𠂉大弓丨
痤	疒人人土
衩	衤󰁧又丶
裣	衤󰁧人一
聍	耳宀丁󰀢
蝽	虫三人日
螽	夂󰁦虫虫
蟊	󰁻乛亅虫
缶	󰅎山󰀵
笄	⺮一廾󰀬
箢	⺮宀夕⺋
舨	丿󰁪⺁又
舻	丿󰁪󰀥尸
舾	丿󰁪西󰀝
艟	丿󰁪立土
醑	西一乛月
醭	西一󰅊人
醯	西一亠皿
趺	口止二人
跗	口止亻寸
踝	口止日木
踬	口止⺁贝
踣	口止立口
躞	口止言又
霪	󰀙氵爫士
鋈	氵丿大金
鲠	󰁢󰀞一乂
鳏	󰁢󰀞罒󰀫
鳘	𠂉母夂一
鳢	󰁢󰀞ㄇ䒑
骰	󰀾月几又
餮	一夕人󰀖
菏	艹氵丁口
乜	𠃌乚󰁫
乩	󰀥口乚󰁀
诜	讠丿土儿
谌	讠艹三󰄃
阢	阝一儿󰁀
鄹	耳又乑阝
劬	勹口力ノ
勐	子皿力ノ
埏	土丿止廴
墉	土广󰁬丨
茌	艹亻士󰀘
茚	艹󰁚一卩
茱	艹󰅎󰅇󰁧
荞	艹丿大󰀯
菥	艹木斤󰀬
菘	艹木八厶
萜	艹冂丨口
菔	艹月卩又
菅	艹宀丨󰁃
葳	艹厂一丶
藁	艹亠口木
呲	口止匕󰁀
哕	口山夕󰁶
哌	口⺁󰀕󰁶
哏	口彐󰀖󰁶
嘬	口日耳又
噌	口丷󰀺日
崤	山乂月
嵫	山䒑ㄠㄠ
狨	犭ノ戈
狺	犭ノ言󰀝
飧	夕人丶󰀖
饩	⺈󰁐󰅎⺄
馐	⺈󰁐䒑二
庥	广亻木󰀦
怙	忄古󰀝
怍	忄𠂉丨二
悃	忄囗木󰁶
泷	氵ヒ丶
泫	氵亠ㄠ󰁶
浈	氵󰀥贝󰁶
渑	氵口日乚
溲	氵臼丨又
滢	氵艹冖丶
宄	宀九󰀅
迓	󰀂亅丿辶
尻	尸九󰁫
妣	女󰁴匕󰁀
妫	女丶丿丶
娉	女由一ㄅ
骜	主󰁡夂一
骟	󰀊󰀞丶羽
缧	纟田ㄠ小
瑷	王爫冖又
杌	木一儿󰁀
枰	木一丷十
柝	木斤丶󰁶
桄	木⺌一儿
椹	木艹三󰄃
辂	车夂口󰀝
暝	日冖日八
氍	目目亻乚
氕	󰅎⺄丿󰁣
氤	󰅎⺄囗大
胗	月人彡ノ
朕	月䒑大󰁶
膻	月亠囗一
熘	火󰁚丶田
燠	火丿ㄇ大
砀	石ㄋ󰁤ノ
砦	止匕石󰀘
礞	石艹冖󰀓
睇	目丷弓丿
钌	钅了󰀢
钔	钅门󰁀
铈	钅亠冂丨
锃	钅口王󰀝
镄	钅弓󰀯贝
锺	钅丿一土
穰	禾亠口󰀔
瓠	大二ㄅ󰂃
瘭	疒覀二小
裢	衤󰁧车辶
裎	衤󰁧口王
襁	衤󰁧弓虫
蛩	工几丶虫
蝥	󰁻乛亅虫
筢	⺮扌巴󰀅
酢	西一𠂉二
醮	西一亻灬
跬	口止土土
觚	⺈月丨󰂃
觫	⺈月丨󰅇
龀	止人凵ヒ
鲺	󰁢󰀞⺄虫
鳓	󰁢󰀞廿力
骺	󰀾月⺁口
黢	󰀹土灬夂
诶	讠厶𠂉大
後	彳ㄠ夂󰁶
缟	纟亠口口
桁	木彳一丁
钯	钅巴󰁀
痣	疒士心󰀦
颌	人一口贝
傧	亻宀󰅍八
谂	讠人丶心
掴	扌囗王丶
剌	一口󰅇刂
脔	亠󰁗冂人
萸	艹臼人󰁧
峋	山勹日󰀝
庠	广䒑󰀟󰀵
庹	广廿尸󰂃
泱	氵ㄇ大󰁶
鲈	󰁢󰀞󰀥尸
薹	艹士口土
捱	扌厂土土
呦	口ㄠ力ノ
圊	囗主月󰀌
岈	山󰀂亅丿
狳	犭ノ人木
缯	纟丷󰀺日
珲	王冖车󰀢
旯	日九󰀅
鹕	古月勹一
顸	干丆贝󰁶
螈	虫厂白小
龉	止人凵口
捌	扌口力刂
疥	疒人󰀯󰀵
疽	疒󰀐一󰀌
柒	氵七木󰁧
鼗	儿󰀪士又
厣	厂大丶甲
刿	山夕刂󰀢
蒯	艹月月刂
仂	亻力ノ
仫	亻丿厶󰁶
伲	亻尸匕󰁀
佴	亻耳󰀝
俦	亻三丿寸
倮	亻日木󰁶
裒	亠臼󰀔󰁧
蠃	亠󰄃口丶
诔	讠三󰅇󰁶
诹	讠耳又󰁶
谝	讠丶尸艹
阼	阝𠂉丨二
陴	阝白丿十
邗	干阝󰀢
邙	亠󰄃阝󰀢
邾	󰅎󰅇阝󰀢
郐	人二厶阝
郗	乂冂阝
劭	刀口力ノ
坼	土斤丶󰁶
坻	土󰁚󰀁丶
埕	土口王󰀝
埸	土日勹󰁤
堍	土⺈口丶
艽	艹九󰀅
芨	艹乃󰂃󰁧
芎	艹弓󰀅
芑	艹己󰀅
芾	艹一冂丨
芰	艹十又󰁧
苈	艹厂力󰁣
芩	艹人丶乛
芪	艹󰁚弋󰀅
苤	艹丆卜一
苘	艹冂口󰀘
苻	艹亻寸󰁧
茑	艹勹丶一
莩	艹爫子󰀘
萑	艹亻󰁷󰀘
蒉	艹口丨贝
葶	艹亠口丁
蒎	艹氵⺁󰀕
蔌	艹一口人
甍	艹罒冖丶
蔹	艹人一夂
蕖	艹氵匚木
薤	艹一夕一
薜	艹尸口十
薷	艹󰀙丆〢
蘅	艹彳󰁢丁
匏	大二ㄅ巳
尥	乚勹丶
捩	扌丶尸丶
揠	扌匚日女
揎	扌宀一一
搋	扌⺁󰅋几
吒	口丿七󰁀
呒	口二󰁜󰁀
咣	口⺌一儿
唪	口三人󰀟
唼	口立女󰀝
喈	口󰁴匕白
嗪	口三人禾
嗲	口八乂夕
嗍	口䒑凵月
嗾	口方𠂉大
岘	山ㄇ󰁜󰁀
岙	丿大山󰀬
岢	山丁口󰀘
岣	山勹口󰀝
峁	山󰁚丿卩
彳	彳丿丿丨
狁	犭ノ厶儿
狲	犭ノ孑小
猃	犭ノ人一
猊	犭ノ臼儿
猢	犭ノ古月
猱	犭ノ󰁻木
獯	犭ノ丿灬
庳	广白丿十
廨	广⺈月󰀟
忮	忄十又󰁶
怫	忄弓󰀯󰀢
隳	阝工⺗
闶	门亠几󰁫
阒	门目大丶
洵	氵勹日󰀝
涠	氵囗二丨
溱	氵三人禾
溷	氵囗一󰀓
澹	氵⺈厂言
澶	氵亠囗一
宥	宀月󰀘
寤	宀󰄃丨口
妪	女匚乂󰁶
姝	女󰅎󰅇󰁶
娲	女口冂人
婊	女主󰀔󰁶
媪	女日皿󰀝
嫫	女艹日大
嫒	女爫冖又
嫱	女十䒑口
骖	󰀊󰀞厶彡
骘	阝止󰀤一
骝	󰀊󰀞󰁚田
纡	纟一󰀛󰀢
绔	纟大二ㄅ
绠	纟一日乂
绨	纟丷弓丿
缇	纟日一󰁾
缌	纟田心󰁶
缛	纟厂二寸
缲	纟口口木
缳	纟罒一󰀔
珥	王耳󰀝
璎	王贝贝女
杓	木勹丶󰁶
杪	木小丿ノ
栌	木󰀥尸ノ
柁	木宀匕󰁀
栳	木土丿匕
栝	木丿古󰀝
棰	木丿十一
椋	木亠口小
椁	木亠口子
槿	木廿口主
樘	木⺌冖土
橥	犭ノ土木
殛	一夕了一
轷	车丿丷󰀛
轺	车刀口󰀝
轾	车一厶土
辏	车三人大
軎	車口󰀘
瓴	人丶󰁻丶
昀	日勹冫󰀝
昝	夂卜日󰀘
晡	日一月丶
暾	日亠口夂
贶	贝口儿󰁀
赕	贝火火󰁶
觇	󰀥口ㄇ󰁜
觏	󰀀ㄇ土󰁜
牮	亻󰀁丶󰀟
挲	氵小丿手
毪	丿二乚󰀟
氲	󰅎⺄日皿
肫	月一凵乚
肭	月冂人󰁶
胍	月⺁厶󰂃
胴	月冂一口
脶	月口冂人
腩	月十冂十
欹	大丁口人
炝	火人⺋󰁀
焐	火五口󰀝
爝	火爫罒寸
扃	丶尸冂口
祢	礻󰁶⺈小
禳	礻󰁶亠󰀔
悫	士冖几心
愍	󰁃󰁐弋心
慝	匚艹心
砗	石车󰀢
硗	石弋丿儿
磲	石氵匚木
礅	石亠口夂
黹	󰅊一丷󰅏
眢	夕⺋目󰀘
眙	目厶口󰀝
瞍	目臼丨又
疃	田立日土
罡	罒一止󰀘
罴	罒土厶灬
罹	罒忄亻󰁷
罾	罒丷󰀺日
钿	钅田󰀝
铘	钅󰀂亅阝
锇	钅丿扌丶
锬	钅火火󰁶
锾	钅爫一又
镔	钅宀󰅍八
镟	钅方𠂉󰁾
镤	钅󰅊一人
镲	钅宀󰁯小
皤	白丿米田
鸺	亻木勹一
鹁	十冖孑一
鹂	一冂丶一
鹣	䒑󰁬󰁗一
鹬	󰁻乛亅一
鹳	艹口口一
疔	疒丁󰀵
疳	疒艹二󰀌
瘃	疒一󰀓丶
痿	疒禾女󰀌
瘥	疒䒑󰀠工
瘼	疒艹日大
瘵	疒󰁯二小
癜	疒尸󰁺又
窬	宀八人刂
衿	衤󰁧人乛
袢	衤󰁧丷󰀟
襦	衤󰁧󰀙〢
襻	衤󰁧木手
耜	三󰅇丨󰁃
耱	三󰅇广石
耋	土丿匕土
颟	艹一冂贝
颢	日亠口贝
颥	󰀙丆冂贝
颦	止󰀤丆十
虿	一󰁡虫󰁧
蚺	虫冂土󰀝
蛲	虫弋丿儿
蛘	虫䒑󰀟󰀢
蛑	虫厶丿󰀟
蛸	虫⺌月󰀝
蜊	虫禾刂󰀢
蜞	虫艹三八
蜾	虫日木󰁶
蜩	虫󰀼土口
蝾	虫艹冖木
蝰	虫大土土
螵	虫覀二小
蠖	虫艹亻又
罅	󰅎山󰅋󰀛
笏	⺮勹󰁤󰁣
筅	⺮丿土儿
筮	⺮工人人
篑	⺮口丨贝
舄	臼勹灬󰁧
臬	丿目木󰁧
衄	丿皿󰁈二
舯	丿󰁪口丨
舳	丿󰁪由󰀝
敉	米夂󰁶
糁	米厶大彡
糇	米亻ユ大
糍	米䒑ㄠㄠ
艮	彐󰀖󰀦
翥	土丿日羽
絷	扌九丶小
纛	主母󰀣小
麴	木人人米
酤	西一古󰀝
酡	西一宀匕
酩	西一夕口
酹	西一爫寸
醐	西一古月
醍	西一日󰁾
跏	口止力口
跆	口止厶口
蹯	口止丿田
貘	豸艹日大
觯	⺈月丨󰅐
謦	士󰁅几言
龅	止人凵巳
黾	口日乚󰀅
鼍	口口田乚
隼	亻󰁷十󰀬
雎	󰀐󰀞亻󰁷
銎	工几丶金
錾	车斤金󰀘
鐾	尸口立金
鲎	󰀧冖󰁢一
鲔	󰁢󰀞月
鲵	󰁢󰀞臼儿
鲼	󰁢󰀞十贝
鲽	󰁢󰀞廿木
鳆	󰁢󰀞𠂉夂
鳋	󰁢󰀞又虫
鞒	廿口十󰀯
髁	󰀾月日木
饕	口一ㄅ󰀖
髹	󰀍厶彡木
鬟	󰀍厶彡󰀔
黧	禾勹丿灬
鼢	臼󰁐󰁦刀
倭	亻禾女󰀝
酆	山三丨阝
坩	土艹二󰀝
苜	艹目󰀘
莜	艹亻丨夂
莨	艹丶彐󰀖
蓥	艹冖金󰀘
瞢	艹罒冖目
呔	口大丶󰁶
夥	日木夕夕
馕	⺈󰁐一󰀔
汩	氵日󰀝
骒	󰀊󰀞日木
纰	纟󰁴匕󰁀
玟	王文󰁶
炅	日火󰁧
砬	石立󰀝
颃	亠几丆贝
麽	广木木厶
齄	丿目田一
赜	匚丨口贝
劐	艹亻󰁷刂
卺	了󰀩一⺋
鄄	覀土阝󰀢
圬	土二ㄅ󰁀
坜	土厂力ノ
蒇	艹厂贝丶
蒹	艹䒑󰁬󰁗
蒗	艹氵丶󰀖
蔟	艹方𠂉大
掭	扌一大⺗
搛	扌䒑󰁬󰁗
擐	扌罒一󰀔
擗	扌尸口十
帔	冂丨󰅌又
岍	山一廾󰀢
崧	山木八厶
甯	宀心月丨
嬲	田力女力
骢	󰀊󰀞丿心
纥	纟𠂉乙󰁀
枞	木人人󰁶
栊	木ヒ丶
柙	木甲󰀢
枳	木口八󰁶
椤	木罒夕󰁶
檗	尸口立木
搿	人一手
炀	火ㄋ󰁤ノ
烀	火丿丷󰀛
穑	禾十䒑口
裆	衤󰁧⺌彐
颍	匕水丆贝
蚴	虫ㄠ力ノ
匦	匚车九󰁫
劂	厂䒑凵刂
伧	亻人⺋󰁀
佧	亻󰀥一卜
俜	亻由一ㄅ
黉	󰀧冖󰁺八
馘	䒑丿目󰀞
凇	冫木八厶
谖	讠爫一又
陬	阝耳又󰁶
郢	口王阝󰀢
鄯	䒑󰀟䒑阝
垆	土󰀥尸ノ
坭	土尸匕󰁀
坶	土母󰁶
埽	土彐冖丨
芄	艹九丶󰁧
苊	艹厂⺋󰀅
芘	艹󰁴匕󰀅
苁	艹人人󰁧
芟	艹几又󰁧
茆	艹󰁚丿卩
荛	艹弋丿儿
荮	艹纟寸󰁧
莰	艹土⺈人
莶	艹人一一
菪	艹宀石󰀘
蓣	艹󰁻乛贝
蕞	艹日耳又
薨	艹罒冖匕
蘧	艹󰅋七辶
廾	廾一丿丨
尢	乚󰁫
揲	扌廿󰄃木
揞	扌立日󰀝
搦	扌弓冫冫
撖	扌乛耳夂
攉	扌󰀙亻󰁷
攮	扌一口󰀔
呤	口人丶󰁻
哜	口文󰀯󰀢
哳	口扌斤󰀢
唣	口白七󰁀
啉	口木木󰁶
喱	口厂日土
囗	囗丨󰁈一
帱	冂丨三寸
帻	冂丨主贝
屺	山己󰁀
岜	山巴󰀅
崾	山覀女󰀝
嵝	山米女󰀝
徂	彳󰀐一󰀝
犸	犭ノ󰀊一
狻	犭ノ厶夂
猹	犭ノ木一
猸	犭ノ󰁅目
馇	⺈󰁐木一
庀	广匕󰁫
廑	广廿口主
丬	丬丶󰀞丨
氵	氵丶丶󰀞
汔	氵𠂉乙󰁀
沲	氵𠂉也󰁀
浯	氵五口󰀝
浼	氵⺈口󰁜
渖	氵宀日丨
渫	氵廿󰄃木
湓	氵八刀皿
溻	氵日羽󰀝
迕	𠂉十辶󰀵
迮	𠂉丨二辶
彐	彐󰁈一一
弪	弓ス工󰀝
屮	凵丨󰀵
妤	女󰁻乛亅
娈	亠󰁗女󰀘
胬	女又冂人
媸	女凵丨虫
嫜	女立日十
尜	小大小󰁧
孓	了󰂃󰀦
驵	󰀊󰀞󰀐一
驺	󰀊󰀞⺈彐
骣	󰀊󰀞尸子
纟	纟ㄥㄥ󰀞
纩	纟广ノ
绋	纟弓󰀯󰀢
绐	纟厶口󰀝
绱	纟⺌冂口
绲	纟日󰁴匕
缡	纟亠乂厶
巛	巛󰁑󰁑󰁑
玢	王八刀ノ
琚	王尸古󰀝
璺	󰀗ㄇ一丶
杩	木󰀊一󰀝
枘	木冂人󰁶
桕	木臼󰀝
桊	䒑大木󰁧
桫	木氵小丿
椟	木十乛大
椠	车斤木󰁧
楗	木󰁬󰀟廴
楱	木三人大
榘	𠂉大匚木
槔	木白大十
榱	木亠口󰀔
槊	䒑凵丿木
槭	木厂󰀥丶
槲	木⺈月十
檠	艹勹口木
檎	木人亠厶
橼	木纟󰅂󰀓
檑	木󰀙田󰀝
獒	主󰁡夂丶
殂	一夕󰀐一
辁	车人王󰀝
戗	人⺋戈󰁶
戤	乃又皿戈
甏	士口䒑丶
攴	󰀥又󰁧
昃	日厂人󰁧
昴	日󰁚丿卩
胲	月亠ㄥ人
脞	月人人土
脬	月爫子󰀝
脘	月宀二儿
腠	月三人大
腽	月日皿󰀝
腭	月口口ㄅ
膣	月宀八土
旆	方󰅎冂丨
煺	火彐󰀖辶
礓	石一田一
礤	石艹󰁯小
盱	目一󰀛󰀢
眍	目匚乂󰁶
眭	目土土󰀝
眵	目夕夕󰁶
鹎	白丿十一
瘅	疒丷󰅐󰀵
皲	冖车󰅌又
虍	󰅋七󰁫
酲	西一口王
鹾	󰀥囗乂工
跫	工几丶󰁾
跽	口止己心
踔	口止󰀥十
躔	口止广土
躜	口止丿贝
貅	豸亻木󰁶
觖	⺈月丨人
雩	󰀙二ㄅ󰀅
龆	止人凵口
隹	亻󰁷󰀝
鍪	󰁻乛亅金
鏊	主󰁡夂金
鲒	󰁢󰀞士口
鲩	󰁢󰀞宀儿
鲶	󰁢󰀞人心
鳜	󰁢󰀞厂人
鳟	󰁢󰀞丷寸
饔	亠󰁲丿󰀖
黪	󰀹土灬彡
鼽	丿目田九
卮	⺁一⺋󰁫
匚	匚一󰄃
劁	亻󰁷灬刂
侔	亻厶丿󰀟
傺	亻󰁯二小
儇	亻罒一󰀔
佥	人一󰀧一
勹	勹丿𠃌
亠	亠丶一
谘	讠冫⺈口
谠	讠⺌冖儿
墼	車凵几土
圮	土己󰁀
垤	土一厶土
垲	土山己󰁀
垴	土亠乂凵
埙	土口贝󰁶
埯	土大日乚
埤	土白丿十
堋	土月月󰀝
埭	土󰁬氺󰁶
墚	土氵刀木
艹	艹一丨丨
芏	艹土󰀘
芴	艹勹󰁤󰁣
芤	艹孑乚󰀅
茇	艹又丶
苠	艹󰁃󰁐弋
茼	艹冂一口
莛	艹丿士廴
茺	艹亠厶儿
荭	艹纟工󰀘
萁	艹艹三八
菝	艹扌丶
萆	艹白丿十
菸	艹方人󰁦
菀	艹宀夕⺋
葙	艹木目󰀘
蒈	艹󰁴匕白
葸	艹田心󰁧
蓠	艹亠乂厶
蒡	艹亠丷方
彡	彡丿丿丿
犭	犭ノ丿丿
夂	夂丿乛󰂃
饣	⺈󰁐󰀅
饫	⺈󰁐丿大
庋	广十又󰀦
廒	广主󰁡夂
忄	忄丶丶丨
忭	忄亠卜󰁶
惝	忄⺌冂口
愀	忄禾火󰁶
慊	忄䒑󰁬󰁗
闼	门大辶󰀦
泐	氵阝力ノ
沭	氵木丶󰁶
潆	氵艹冖小
漤	氵木木女
漶	氵口口心
濡	氵󰀙丆〢
宀	宀丶丶乛
宓	宀心丿󰁣
褰	宀󰀀八󰀔
逄	夂󰀂丨辶
逑	一氺丶辶
逭	宀丨󰁃辶
遄	山丆冂辶
遘	󰀀冂土辶
彖	󰅂一󰀓󰁧
屦	尸彳米女
琊	王󰀂亅阝
珧	王儿󰀪󰁶
琏	王车辶󰁶
曛	日丿一灬
曜	日羽亻󰁷
曩	日亠口󰀔
牿	牜丿土口
犏	牜丶尸艹
毳	丿二乚乚
毵	厶大彡乚
氇	丿二乚日
攵	夂丿一󰂃
敫	白方夂󰁶
肟	月二ㄅ󰁀
肜	月彡ノ
肓	亠󰄃月󰀘
肷	月⺈人󰁶
胩	月󰀥一卜
胙	月𠂉丨二
胝	月󰁚󰀁丶
脎	月乂木󰁶
膪	月亠丷口
臌	月士口又
臁	月广䒑󰁗
飑	几乂勹巳
灬	灬丶丶丶
礻	礻󰁶丶丶
祜	礻󰁶古󰀝
禚	礻󰁶丷灬
恧	丆冂〢心
肀	󰁬丨󰀵
泶	󰀧冖水󰁧
砘	石一凵乚
砟	石𠂉丨二
硭	石艹亠󰄃
硇	石丿囗乂
硪	石丿扌丶
磉	石又又木
磴	石癶一䒑
瞀	󰁻乛亅目
罨	罒大日乚
钅	钅丿一󰁐
钆	钅乚󰁀
钭	钅󰁦十󰀢
钬	钅火󰁶
钶	钅丁口󰀝
铖	钅厂𠃌丶
铥	钅丿土厶
铩	钅乂木󰁶
铫	钅儿󰀪󰁶
铴	钅氵ㄋ󰁤
铽	钅弋心丶
锊	钅爫寸󰁶
锩	钅䒑大⺋
锼	钅臼丨又
镘	钅日罒又
镙	钅田ㄠ小
镢	钅厂䒑人
镩	钅宀八丨
镱	钅立日心
稂	禾丶彐󰀖
瓞	⺁厶󰂃人
鸫	󰀂小勹一
鸸	丆冂〢一
鸹	丿古勹一
鹇	门木勹一
鹋	艹田勹一
鹛	󰁅目勹一
鹨	羽人彡一
鹱	勹丶ㄅ又
疒	疒丶一󰀞
疠	疒一󰁡󰀏
痄	疒𠂉丨二
痃	疒亠ㄠ󰀦
痖	疒一󰅊一
瘗	疒一丷土
瘕	疒󰁃丨又
瘙	疒又丶虫
瘛	疒三丨心
癀	疒󰁺由八
瘳	疒羽人彡
癔	疒立日心
穸	宀八夕󰁧
窀	宀八一乚
窆	宀八丿之
窭	宀八米女
衤	衤󰁧丶丶
衲	衤󰁧冂人
裰	衤󰁧又又
耥	三󰅇⺌口
虮	虫几󰁀
虺	一儿虫󰀦
虼	虫𠂉乙󰁀
蚨	虫二人󰁶
蚧	虫人󰀯󰀢
蚰	虫由󰀝
蛳	虫リ一丨
蛞	虫丿古󰀝
蜣	虫䒑󰀠乚
蜱	虫白丿十
螋	虫臼丨又
蝓	虫人一刂
螓	虫三人禾
螯	主󰁡夂虫
螅	虫丿目心
螭	虫亠乂厶
螗	虫广󰁬口
蟪	虫一日心
蟮	虫䒑󰀟口
蠓	虫艹冖󰀓
蠛	虫艹罒丶
蠼	虫目目又
笫	⺮丿ㄅ丿
笮	⺮𠂉丨二
笳	⺮力口󰀘
笾	⺮力辶󰁧
箦	⺮主贝󰁧
箝	⺮扌艹二
篚	⺮匚丨三
篪	⺮⺁󰅋几
簖	⺮米󰄃斤
籀	⺮扌󰁚田
舁	臼廾󰀬
舴	丿󰁪𠂉二
艏	丿󰁪䒑目
粢	冫⺈人米
綮	丶尸夂小
趑	土󰁾冫人
酎	西一寸󰁶
酴	西一人木
醣	西一广口
鲭	󰁢󰀞主月
鲰	󰁢󰀞耳又
鞔	廿口十󰁜
骱	󰀾月人󰀯
髂	󰀾月宀口
髌	󰀾月宀八
魃	白󰁜厶丶
魈	白󰁜厶月
魍	白󰁜厶󰄃
髟	󰀍厶彡ノ
麈	广󰁃〢王
鼬	臼󰁐󰁦由
丨	丨丨〇〇
丿	丿丿〇〇
乇	丿七󰁫
丶	丶丶〇〇
刂	刂丨亅
冂	冂丨𠃌
亻	亻丿丨
冫	冫丶󰀞
冖	冖丶乛
讠	讠丶󰁉
卩	卩𠃌丨
阝	阝󰁋丨
廴	廴󰁌󰂃
凵	凵󰄃丨
厶	厶ㄥ丶
葜	艹三丨大
扌	扌一亅󰀞
辶	辶丶󰁋󰂃
钰	钅王丶󰁶
铞	钅口冂丨
锍	钅亠厶󰀸
锓	钅彐冖又
镪	钅弓口虫
稆	禾口口󰀝
鸪	古勹丶一
痂	疒力口󰀌
袷	衤󰁧人口
裉	衤󰁧彐󰀖
疋	乛󰁾󰀦
蠊	虫广䒑󰁗
筇	⺮工阝󰀬
筻	⺮一日乂
艉	丿󰁪尸乚
糸	ㄠ小󰁧
鬏	󰀍厶彡火
訫	言心󰁶
曈	日立曰土
殑	一夕古儿
叡	󰀥冖一又
汏	氵大󰁶
栢	木丆日󰀝
咗	口工󰀝
恆	忄一丨一
亜	一口〢一
喆	士口士口
嗱	口人一手
喎	口ㄇ󰁈口
暁	日十艹儿
冧	冖木木󰁧
涙	氵丶尸大
恵	一由心󰁧
兲	王八󰁧
穫	禾艹亻又
冏	冂八口󰀌
羙	丷王火󰁧
楽	白󰀪木󰁧
燊	火火火木
囧	囗八ㄇ󰁫
啛	口一󰁬女
円	冂丨一󰀌
槑	口木口木
秂	禾人󰁧
関	門䒑大󰀦
啲	口白勹丶
実	宀三人󰁧
荳	艹一口䒑
覚	󰀧冖目儿
諨	言一口田
犳	犭󰁥勹丶
羨	丷王氵人
垚	土土土󰀘
菈	艹扌立󰀘
琍	王禾刂󰀢
尒	人小󰁧
嗰	口亻囗古
佺	亻人王󰀝
嚟	口禾勹氺
恏	女子心󰁧
煋	火曰丿
啱	口山石󰀝
滘	氵冖八口
眞	匕目󰄃八
潵	氵󰁺月攵
伝	亻二厶󰁶
冚	冖山󰀬
児	丨日儿󰀅
偲	亻田心󰁶
粿	米曰木󰁶
複	衤󰁧𠂉夂
沢	氵尸󰂃󰁶
咲	口䒑大󰁶
攞	扌罒糹󰁷
妳	女⺈小󰁶
囖	口⺮罒󰁷
喺	口亻丿小
揾	扌曰皿󰀝
吇	口子󰀝
蹟	口止貝
啫	口土丿日
翀	羽口丨󰀢
錵	釒艹亻ヒ
堃	方方土󰀘
冇	冂󰀅
玹	王亠幺󰁶
搵	扌囗人皿
魜	󰁢灬人󰁶
尛	小小小󰁧
朲	木人󰁶
瓑	王厂禾止
衹	衤󰁧󰁚󰀁
様	木丷王水
唸	口人丶心
菓	艹曰木󰁧
屌	尸口冂丨
緈	糹土䒑十
尓	𠂉小󰁧
珺	王󰁬丿口
祂	礻󰁶也󰁀
嬛	女罒一󰀔
瞓	目言川󰀢
哋	口土也󰁀
媞	女曰一󰁾
佢	亻匚󰁃󰀝
孖	孑子󰀝
峯	山夂三丨
吔	口也󰁀
囍	士口䒑口
惢	心心心󰁧
託	言丿七󰁀
呎	口尸󰂃󰁶
籹	米女󰀝
〇  〇〇〇〇
